variable,question,module,health_care_experience,coding
site,Site,General,0,
newid,Study ID,General,0,
gs_diagnosis,Gold Standard Diagnosis Code,General,0,
gs_comorbid1,Gold Standard Comorbid Conditions 1,General,0,
gs_comorbid2,Gold Standard Comorbid Conditions 2,General,0,
gs_level,Gold Standard Diagnosis Level,General,0,"1 ""GS Level 1"" 2 ""GS Level 2"" 3 ""GS Level 2B"" 9 ""Unknown"""
g1_01d,Date of birth [day],General,0,"99 ""Don't Know"""
g1_01m,Date of birth [month],General,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g1_01y,Date of birth [year],General,0,"9999 ""Don't Know"""
g1_05,Sex of deceased,General,0,"1 ""Male"" 2 ""Female"" 8 ""Refused to Answer"" 9 ""Don't Know"""
g1_06d,Date of death [day],General,0,"99 ""Don't Know"""
g1_06m,Date of death [month],General,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g1_06y,Date of death [year],General,0,"9999 ""Don't Know"""
g1_07a,Last known age of the deceased [years],General,0,"999 ""Don't Know"""
g1_07b,Last known age of the deceased [months],General,0,"99 ""Don't Know"""
g1_07c,Last known age of the deceased [days],General,0,"99 ""Don't Know"""
g1_08,Marital status of deceased,General,0,"1 ""Never Married"" 2 ""Married"" 3 ""Separated"" 4 ""Divorced"" 5 ""Widowed"" 8 ""No Data"" 9 ""Unknown"""
g1_09,Last known level of education completed,General,0,"1 ""No Schooling"" 2 ""Primary School"" 3 ""High School"" 4 ""College or Higher"" 9 ""Unknown"""
g1_10,Number of years of education completed,General,0,"99 ""Don't Know"""
g2_01,Language of interview,General,0,
g2_02,Interviewer ID number,General,0,
g2_03ad,Date of first interview attempt [day],General,0,"99 ""Don't Know"""
g2_03am,Date of first interview attempt [month],General,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g2_03ay,Date of first interview attempt [year],General,0,"9999 ""Don't Know"""
g2_03bd,Date and time arranged for second interview attempt [day],General,0,"99 ""Don't Know"""
g2_03bm,Date and time arranged for second interview attempt [month],General,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g2_03by,Date and time arranged for second interview attempt [year],General,0,"9999 ""Don't Know"""
g2_03cd,Date and time arranged for third interview attempt [day],General,0,"99 ""Don't Know"""
g2_03cm,Date and time arranged for third interview attempt [month],General,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g2_03cy,Date and time arranged for third interview attempt [year],General,0,"9999 ""Don't Know"""
g2_03dd,Date of interview [day],General,0,"99 ""Don't Know"""
g2_03dm,Date of interview [month],General,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g2_03dy,Date of interview [year],General,0,"9999 ""Don't Know"""
g2_03ed,Date form checked by supervisor [day],General,0,"99 ""Don't Know"""
g2_03em,Date form checked by supervisor [month],General,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g2_03ey,Date form checked by supervisor [year],General,0,"9999 ""Don't Know"""
g2_03fd,Date entered in computer [day],General,0,"99 ""Don't Know"""
g2_03fm,Date entered in computer [month],General,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g2_03fy,Date entered in computer [year],General,0,"9999 ""Don't Know"""
g3_01,Did respondent give consent?,General,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
g4_02,What is the sex of the respondent?,General,0,"1 ""Male"" 2 ""Female"" 8 ""Refused to Answer"" 9 ""Don't Know"""
g4_03a,What is your respondent's relationship to the deceased?,General,0,"1 ""Mother"" 2 ""Father"" 3 ""Grandmother"" 4 ""Grandfather"" 5 ""Aunt"" 6 ""Uncle"" 7 ""Husband"" 8 ""Wife"" 9 ""Brother"" 10 ""Sister"" 11 ""Birth Attendant"" 12 ""Other Male"" 13 ""Other Female"" 99 ""Unknown"""
g4_03b,Other relationship specified,General,0,
g4_04,How old are you?,General,0,
g4_05,What was the last level of school you attended?,General,0,"1 ""No Schooling"" 2 ""Primary School"" 3 ""High School"" 4 ""College or Higher"" 9 ""Unknown"""
g4_06,How many people live at this address?,General,0,
g4_07,How many rooms are in the household?,General,0,
